iter	Passed	Remaining
0	326	195697
1	483	144605
2	716	142539
3	900	134156
4	1114	132655
5	1248	123579
6	1331	112763
7	1414	104648
8	1496	98256
9	1574	92904
10	1633	87481
11	1710	83816
12	1779	80333
13	1850	77474
14	1937	75573
15	1998	72931616	2059	70611717	2084	673818	2226	68071
19	2327	67508
20	2426	66908
21	2494	65547
22	2575	64621
23	2650	63607
24	2723	62630
25	2799	61802
26	2859	60682
27	2947	60223
28	3044	59954
29	3151	59879
30	3236	59407
31	3318	58897
32	3380	58079
33	3457	57551
34	3536	57088
35	3659	57329
36	3767	57328
37	3895	57614
38	3985	57325
39	4079	57110
40	4164	56776
41	4260	56605
42	4354	56405
43	4431	55997
44	4499	55499
45	4598	55381
46	4658	54809
47	4725	54346
48	4788	53842
49	4871	53588
50	4903	52782
51	5043	53153
52	5120	52843
53	5191	52491
54	5292	52439
55	5367	52142
56	5447	51891
57	5551	51880
58	5623	51562
59	5688	51200
60	5749	50804
61	5799	50321
62	5854	49902
63	5889	49325
64	5896	48530
65	5950	48142
66	6001	47744
67	6044	47290
68	6091	46879
69	6167	46698
70	6239	46486
71	6297	46181
72	6341	45780
73	6390	45423
74	6437	45060
75	6479	44676
76	6520	44287
77	6594	44134
78	6659	43915
79	6704	43580
80	6755	43285
81	6770	42768
82	6823	42505
83	6867	42183
84	6902	41820
85	6942	41495
86	6993	41236
87	7033	40923
88	7072	40608
89	7116	40325
90	7155	40026
91	7202	39771
92	7241	39479
93	7286	39224
94	7334	38990
95	7385	38773
96	7426	38509
97	7466	38247
98	7506	37989
99	7540	37701
100	7588	37493
101	7633	37267
102	7669	37007
103	7721	36825
104	7760	36583
105	7800	36355
106	7840	36123
107	7870	35856
108	7911	35638
109	7947	35404
110	7984	35172
111	8021	34950
11112	7998	344711113	8093	345011114	8152	34383
115	8218	34291
116	8271	34148
117	8320	33987
118	8378	33865
119	8431	33724
120	8483	33581
121	8547	33488
122	8624	33444
123	8701	33403
124	8773	33340
125	8846	33280
126	8910	33187
127	8952	33014
128	9018	32928
129	9084	32842
130	9163	32805
131	9209	32653
132	9280	32588
133	9337	32472
134	9400	32380
135	9464	32289
136	9520	32176
137	9594	32119
138	9644	31986
139	9711	31909
140	9769	31802
141	9825	31692
142	9902	31646
143	9953	31520
144	10008	31405
145	10069	31310
146	10123	31198
147	10178	31087
148	10240	30995
149	10293	30880
150	10346	30766
151	10402	30658
152	10457	30551
153	10507	30429
154	10562	30324
155	10622	30232
156	10696	30181
157	10807	30234
158	10887	30197
159	10949	30110
160	11017	30040
161	11078	29954
162	11125	29827
163	11170	29697
164	11219	29578
165	11289	29516
166	11339	29401
167	11394	29299
168	11454	29211
169	11500	29088
170	11552	28983
171	11605	28877
172	11660	28779
173	11720	28694
174	11767	28578
175	11819	28473
176	11891	28417
177	11944	28318
178	12007	28241
179	12060	28142
180	12117	28050
181	12172	27955
182	12234	27877
183	12288	27782
184	12343	27688
185	12402	27605
186	12455	27509
187	12502	27398
188	12552	27296
189	12612	27217
190	12667	27124
191	12713	27015
192	12769	26928
193	12811	26811
194	12861	26713
195	12902	26595
196	12953	26499
197	13002	26399
198	13048	26293
199	13091	26183
200	13138	26080
201	13181	25970
202	13233	25880
203	13297	25813
204	13343	25709
205	13385	25600
206	13437	25512
207	13486	25416
208	13540	25332
209	13598	25254
210	13650	25166
211	13699	25072
212	13753	24988
213	13800	24892
214	13850	24801
215	13896	24704
216	13944	24611
217	13995	24524
218	14050	24444
219	14103	24360
220	14152	24270
221	14201	24180
222	14241	24077
223	14292	23991
224	14333	23889
225	14375	23789
226	14418	23692
227	14464	23600
228	14518	23521
229	14554	23414
230	14601	23324
231	14639	23221
232	14679	23121
233	14722	23026
234	14765	22934
235	14817	22854
236	14869	22774
237	14916	22687
238	14964	22603
239	15013	22520
240	15021	22376
241	15064	22285
242	15112	22201
243	15164	22124
244	15208	22037
245	15254	21951
246	15303	21870
247	15349	21786
248	15395	21702
249	15441	21618
250	15491	21540
251	15537	21456
252	15579	21368
253	15630	21291
254	15679	21213
255	15734	21142
256	15779	21059
257	15831	20986
258	15876	20903
259	15922	20821
260	15967	20739
261	16023	20671
262	16079	20603
263	16134	20534
264	16182	20457
265	16245	20398
266	16309	20340
267	16363	20271
268	16414	20197
269	16459	20116
270	16501	20032
271	16549	19956
272	16618	19905
273	16665	19827
274	16717	19756
275	16772	19689
276	16821	19614
277	16875	19545
278	16928	19477
279	16981	19407
